renovation,area,city,floor,kitchen_area,balconies,rooms,house_floors,house_wall_type,lifts,price
,48.0,Казань,5,11.0,1,2,9,Кирпичный,0,4789968.0
,39.3,Казань,2,8.8,1,1,9,Панельный,0,5499995.699999999
,33.4,Казань,2,10.0,1,1,10,Кирпичный,0,5389991.8
Требуется,46.4,Казань,2,11.0,0,1,10,Панельный,1,5499977.6
Требует ремонта,35.9,Казань,2,9.8,1,1,7,Монолитный,1,5599969.2
косметический,48.9,Казань,2,11.7,1,2,9,Кирпичный,1,4899975.6
,33.1,Казань,1,7.5,0,1,9,Иные,0,5749999.600000001
косметический,31.1,Казань,2,12.65,0,1,10,Кирпичный,1,5499972.8
Требует ремонта,43.48,Казань,1,11.8,1,1,10,Блочный,1,5499959.119999999
,37.3,Казань,1,8.6,1,1,10,Панельный,1,5704997.699999999
Косметический,35.0,Казань,1,8.0,1,1,10,Панельный,1,5999980.0
,32.0,Казань,1,6.0,1,1,5,Кирпичный,0,5609984.0
,31.4,Казань,1,6.0,1,1,5,Кирпичный,0,5699979.2
,35.0,Казань,1,10.1,1,1,10,Кирпичный,1,5649980.0
,37.0,Казань,4,0.0,0,1,10,Иные,0,5550000.0
косметический,32.5,Казань,2,5.9,1,1,5,Кирпичный,0,5499975.0
косметический,35.0,Казань,2,6.0,1,1,5,Панельный,0,5499970.0
,29.4,Казань,2,6.0,0,1,5,Иные,0,5489979.6
Косметический,44.0,Казань,4,13.0,1,1,10,Панельный,1,5500000.0
,36.8,Казань,4,10.0,1,1,10,Панельный,0,5549992.0
,30.1,Казань,2,6.0,0,1,5,Панельный,0,5299977.9
косметический,32.0,Казань,3,6.0,1,1,5,Панельный,0,5398976.0
,33.6,Казань,4,7.0,0,1,7,Иные,0,5593996.8
косметический,36.3,Казань,7,6.0,1,1,9,Панельный,1,5099968.5
,42.0,Казань,2,7.7,1,2,9,Кирпичный,0,5349960.0
,30.6,Казань,2,10.0,1,1,5,Кирпичный,0,5299981.2
,30.6,Казань,3,6.0,1,1,5,Панельный,0,5199980.4
,36.3,Казань,7,5.8,1,1,9,Панельный,0,5099968.5
косметический,26.9,Казань,8,7.4,1,1,9,Кирпичный,1,4899996.399999999
,38.0,Казань,1,9.0,1,1,9,Панельный,0,5999972.0
,35.0,Казань,9,9.0,0,1,9,Кирпичный,0,5199985.0
,36.0,Казань,10,7.3,0,1,10,Панельный,0,5298984.0
,30.0,Казань,4,6.0,0,1,5,Кирпичный,0,5100000.0
,29.0,Казань,4,6.0,1,1,5,Блочный,0,5199990.0
косметический,35.0,Казань,9,9.0,1,1,9,Панельный,1,5189975.0
,36.5,Казань,9,5.0,1,1,9,Панельный,0,5188986.0
Требует ремонта,35.0,Казань,9,9.0,0,1,9,Панельный,1,5178985.0
,32.1,Казань,5,5.7,1,1,5,Панельный,0,5098988.7
косметический,37.4,Казань,9,9.0,0,1,9,Панельный,1,5158993.399999999
Косметический,33.1,Казань,8,7.0,1,1,9,Иные,0,4999986.7
,33.4,Казань,9,5.6,1,1,9,Панельный,1,5098977.6
,35.8,Казань,10,7.6,0,1,14,Кирпичный,2,5499989.8
Косметический,35.8,Казань,9,8.0,1,1,9,Кирпичный,0,5399964.6
,35.6,Казань,7,8.0,1,1,10,Кирпичный,0,5349968.0
,37.0,Казань,6,8.1,1,1,9,Кирпичный,0,5199980.0
Косметический,31.0,Казань,8,6.0,0,1,9,Кирпичный,0,4949987.0
,30.8,Казань,12,8.1,1,1,17,Монолитный,0,5499986.8
,30.9,Казань,10,9.0,1,1,17,Панельный,0,5499983.7
Косметический,36.3,Казань,5,7.0,0,1,9,Панельный,1,5399988.0
косметический,37.3,Казань,5,8.0,0,1,10,Кирпичный,1,5669973.0
,36.6,Казань,8,0.0,0,1,10,Иные,0,5499991.8
,30.8,Казань,14,8.5,1,1,14,Панельный,0,5299971.600000001
,32.0,Казань,10,8.0,0,1,20,Монолитный,0,5449984.0
Требуется,32.0,Казань,12,8.1,1,1,19,Кирпичный,0,5500000.0
Требуется,30.7,Казань,12,5.0,0,1,20,Кирпичный,0,5149986.399999999
Требует ремонта,33.0,Казань,12,7.7,1,1,19,Монолитный,0,5089986.0
чистовая отделка,30.9,Казань,8,8.13,1,1,17,Панельный,1,5399991.3
Косметический,35.0,Казань,9,7.1,1,1,10,Панельный,1,5599965.0
,30.7,Казань,12,11.0,1,1,19,Монолитный,0,5098993.7
косметический,31.3,Казань,10,6.0,1,1,20,Кирпичный,1,5189978.2
Требует ремонта,34.64,Казань,13,16.45,0,1,20,Монолитный,1,4849981.04
,28.7,Казань,10,7.0,1,1,17,Монолитный,0,4949975.1
,29.7,Казань,2,8.0,1,1,19,Панельный,0,5198985.0
,36.5,Казань,13,18.9,0,1,20,Монолитный,0,4999989.0
косметический,36.4,Казань,2,12.3,0,1,16,Кирпичный,1,5249972.0
Требуется,31.9,Казань,14,8.2,0,1,17,Кирпичный,0,5049993.3
Требует ремонта,29.25,Казань,1,5.55,1,1,17,Монолитный,1,5099971.5
Косметический,35.6,Казань,2,10.0,1,1,20,Монолитный,2,5149967.2
Требует ремонта,34.0,Казань,14,16.0,1,1,20,Кирпично-монолитный,1,4999972.0
Дизайнерский,24.7,Казань,1,10.0,0,1,19,Монолитный,0,5199992.2
,36.4,Казань,2,12.3,1,1,18,Кирпичный,1,5299985.6
,30.7,Казань,4,5.0,1,1,19,Монолитный,0,4899996.3
Без ремонта,38.47,Казань,7,10.0,1,1,20,Монолитный,3,5099967.899999999
,39.1,Казань,4,12.3,1,1,20,Монолитный,0,5039990.0
Требуется,33.7,Казань,9,8.0,1,1,20,Кирпичный,0,4899980.0
,31.3,Казань,13,5.0,1,0,19,Монолитный,0,4849997.600000001
Дизайнерский,25.5,Казань,1,0.0,0,0,20,Монолитный,1,4799992.5
,26.1,Казань,8,15.0,1,0,19,Кирпично-монолитный,0,4649976.0
,43.7,Казань,2,12.0,1,1,10,Кирпичный,0,6099995.600000001
косметический,36.6,Казань,10,9.1,1,1,10,Панельный,1,5849997.600000001
,26.0,Казань,9,5.0,1,0,19,Кирпично-монолитный,0,4699994.0
Косметический,38.2,Казань,7,6.6,0,1,9,Панельный,0,5699974.800000001
,39.2,Казань,3,9.4,1,1,10,Кирпично-монолитный,0,5989995.2
,35.0,Казань,9,7.8,0,1,10,Панельный,0,5849970.0
Косметический,31.2,Казань,10,7.8,1,1,10,Панельный,1,5799986.399999999
Требует ремонта,33.49,Казань,3,9.11,0,1,11,Кирпичный,1,6199970.21
,34.4,Казань,8,12.0,0,1,10,Кирпичный,0,5839984.8
,34.2,Казань,7,9.44,1,1,11,Кирпично-монолитный,0,5799978.000000001
,25.4,Казань,6,15.0,1,1,9,Кирпичный,0,6249974.8
косметический,33.7,Казань,4,9.0,1,1,9,Кирпичный,1,5919977.9
,37.0,Казань,7,17.0,1,1,7,Монолитный,0,5699998.0
Косметический,34.8,Казань,5,8.8,1,1,9,Кирпичный,1,6299983.199999999
,32.5,Казань,4,14.0,1,1,5,Кирпичный,0,5699980.0
,33.0,Казань,4,7.9,1,1,9,Кирпичный,0,6099984.0
,33.5,Казань,9,5.5,1,1,12,Кирпичный,0,6609985.5
,33.2,Казань,7,0.0,1,1,16,Кирпично-монолитный,0,5519998.000000001
косметический,40.1,Казань,4,11.8,0,1,6,Кирпичный,0,6299990.7
,37.0,Казань,6,14.2,0,1,7,Кирпичный,0,6199979.0
косметический,38.3,Казань,5,11.0,0,1,6,Кирпичный,0,5949981.6
,33.9,Казань,5,9.0,1,1,9,Кирпичный,0,5999994.899999999
,36.0,Казань,5,0.0,0,1,10,Иные,1,6099984.0
,35.0,Казань,8,0.0,0,1,8,Железобетон,0,5999980.0
,31.3,Казань,3,8.5,1,1,6,Кирпичный,0,5849970.0
косметический,40.0,Казань,4,7.9,0,1,14,Кирпичный,1,5900000.0
,40.0,Казань,4,7.9,1,1,14,Кирпичный,1,6100000.0
,34.4,Казань,9,9.0,1,1,10,Кирпичный,1,5799977.6
,33.0,Казань,8,10.6,0,1,9,Кирпичный,1,5949999.0
,39.6,Казань,7,11.0,1,1,10,Кирпичный,0,5399974.8
,35.9,Казань,10,7.8,0,1,14,Кирпичный,0,5699986.6
,38.1,Казань,4,9.1,1,1,9,Панельный,0,5799963.0
,35.1,Казань,8,6.4,1,1,9,Блочный,0,5649976.8
,33.0,Казань,7,8.0,1,1,10,Панельный,0,5749986.0
,34.8,Казань,8,8.2,1,1,10,Кирпичный,0,5749969.199999999
,40.5,Казань,9,8.3,1,1,14,Кирпичный,0,5689966.5
косметический,35.5,Казань,7,8.0,0,1,9,Панельный,1,5649967.0
косметический,39.0,Казань,13,7.9,0,1,14,Кирпичный,2,5589987.0
косметический,34.2,Казань,6,7.9,0,1,9,Панельный,1,5619983.4
,33.4,Казань,7,8.0,1,1,9,Панельный,0,5649977.399999999
,36.3,Казань,4,8.0,1,1,10,Монолитный,0,5199975.0
,37.2,Казань,10,9.0,1,1,10,Кирпичный,2,5399989.2
Требует ремонта,55.0,Казань,5,15.0,0,1,15,Монолитный,1,5799970.0
косметический,32.6,Казань,8,8.4,1,1,10,Монолитный,1,5999997.4
,35.7,Казань,5,7.4,1,1,9,Панельный,0,6099987.600000001
,35.0,Казань,5,8.0,1,1,9,Кирпичный,0,5999980.0
Требуется,47.6,Казань,2,10.0,0,1,15,Иные,0,5799964.8
,38.6,Казань,1,10.0,1,1,5,Кирпично-монолитный,0,5799997.4
,32.9,Казань,3,7.5,1,1,9,Панельный,0,5998986.0
,32.0,Казань,5,8.0,1,1,9,Панельный,1,5900000.0
,33.0,Казань,10,8.0,1,1,10,Панельный,0,5099985.0
косметический,40.5,Казань,8,10.5,0,1,14,Кирпичный,1,5799964.5
Требует ремонта,33.2,Казань,9,8.0,1,1,10,Панельный,1,4999986.4
Требует ремонта,38.0,Казань,6,6.1,1,1,17,Панельный,1,5599984.0
,34.0,Казань,5,6.0,1,1,9,Панельный,1,5899986.0
Дизайнерский,38.0,Казань,6,7.0,0,1,9,Панельный,1,5899994.0
косметический,33.3,Казань,9,7.0,0,1,10,Кирпичный,1,5199994.8
,31.0,Казань,2,6.0,0,1,5,Кирпичный,0,5729978.0
,33.5,Казань,16,0.0,0,1,18,Панельный,0,5559995.0
,35.6,Казань,7,6.0,1,1,9,Панельный,1,5899988.0
косметический,33.0,Казань,2,6.0,0,1,5,Панельный,0,5689992.0
Требует ремонта,35.97,Казань,12,6.1,1,1,20,Панельный,1,5619988.77
Косметический,33.1,Казань,12,8.0,1,1,17,Кирпичный,0,5589994.2
,32.0,Казань,2,7.0,1,1,5,Кирпичный,0,5688000.0
,36.39,Казань,15,19.0,0,1,23,Кирпичный,1,5399984.88
,33.0,Казань,10,8.0,1,1,10,Панельный,1,5249970.0
,33.2,Казань,8,8.0,0,1,9,Панельный,0,4999986.4
,41.8,Казань,4,10.48,1,1,5,Кирпичный,0,5998968.8
Дизайнерский,33.01,Казань,9,8.98,1,1,10,Кирпичный,1,6399978.8
,44.1,Казань,5,14.0,0,1,5,Кирпичный,0,6199974.9
,35.0,Казань,16,8.0,1,2,23,Кирпично-монолитный,0,5250000.0
Косметический,30.3,Казань,3,5.0,1,1,4,Кирпичный,0,5999975.7
Требуется,34.5,Казань,17,10.3,1,1,23,Кирпичный,0,5199978.0
Косметический,36.6,Казань,10,12.0,0,1,10,Кирпичный,1,6399985.8
Требует ремонта,34.57,Казань,10,9.44,2,1,10,Кирпичный,1,6299967.66
Требует ремонта,27.5,Казань,18,6.33,0,1,25,Панельный,1,5098995.0
,42.0,Казань,1,11.0,1,1,5,Кирпичный,0,5899992.0
Требуется,37.0,Казань,21,16.2,0,1,23,Кирпичный,0,5099969.0
Отсутствует,34.0,Казань,17,8.0,1,1,23,Монолитный,0,4999972.0
Требует ремонта,33.2,Казань,9,8.3,0,1,10,Кирпично-монолитный,0,6299998.800000001
,34.25,Казань,10,0.0,0,1,11,Кирпично-монолитный,0,6099993.5
Требует ремонта,31.6,Казань,24,8.4,1,1,25,Кирпично-монолитный,1,4949982.0
Требует ремонта,36.9,Казань,18,12.0,0,1,25,Монолитный,1,5089986.0
,31.0,Казань,11,8.0,1,1,14,Панельный,0,5869974.0
,31.9,Казань,11,11.0,0,1,12,Кирпично-монолитный,0,5998986.399999999
Без ремонта,34.0,Казань,16,0.0,1,2,23,Монолитный,3,5100000.0
,39.0,Казань,18,8.0,1,1,19,Монолитный,0,4989972.0
,36.6,Казань,10,9.0,1,1,10,Панельный,0,6099975.600000001
Дизайнерский,34.3,Казань,10,8.0,0,1,19,Железобетон,0,5899977.3
,34.0,Казань,12,9.0,1,1,18,Кирпичный,0,5679972.0
,34.3,Казань,8,14.0,1,1,10,Кирпично-монолитный,0,6248979.8
,34.3,Казань,10,7.3,1,1,10,Панельный,0,6049971.199999999
,30.8,Казань,8,6.0,1,1,19,Кирпичный,0,5749990.4
,37.5,Казань,8,8.5,1,1,14,Кирпичный,1,6099975.0
,33.5,Казань,8,6.1,1,1,19,Монолитный,0,5799989.0
,32.0,Казань,9,0.0,0,1,19,Монолитный,0,5555488.0
,33.3,Казань,8,7.6,1,1,9,Панельный,0,6099993.899999999
,35.3,Казань,7,13.2,0,1,19,Кирпичный,1,5799966.499999999
,33.0,Казань,7,8.0,0,1,7,Панельный,0,5999994.0
,31.87,Казань,9,8.13,1,1,19,Кирпичный,0,5748997.430000001
,30.7,Казань,6,8.5,1,1,17,Панельный,0,5989999.8
,36.0,Казань,9,8.0,1,1,14,Кирпичный,0,6099984.0
Косметический,33.0,Казань,7,7.0,0,1,9,Кирпичный,0,5999994.0
,46.0,Казань,6,8.6,0,1,16,Панельный,0,5999964.0
Требует ремонта,36.0,Казань,6,6.1,1,1,17,Панельный,1,5999976.0
,35.2,Казань,5,6.1,1,1,17,Панельный,0,5899977.600000001
Косметический,35.8,Казань,9,8.5,1,1,14,Кирпичный,2,6179974.999999999
Дизайнерский,31.9,Казань,5,8.7,1,1,19,Монолитный,1,5799994.2
,37.0,Казань,10,9.1,0,1,11,Железобетон,0,6249966.0
,36.0,Казань,6,6.1,1,1,19,Панельный,0,5899968.0
косметический,34.2,Казань,4,9.9,0,1,9,Кирпичный,1,5999979.600000001
,36.1,Казань,1,6.9,1,1,14,Кирпичный,0,5989964.7
косметический,37.2,Казань,4,7.0,0,1,5,Кирпичный,0,5499982.800000001
,43.0,Казань,4,15.0,1,1,20,Монолитный,0,5789993.0
Косметический,34.9,Казань,6,7.7,1,1,10,Кирпичный,1,5498983.6
,35.0,Казань,7,7.6,0,1,10,Панельный,0,6699980.0
,40.0,Казань,6,14.0,1,1,7,Монолитный,0,5660000.0
Косметический,34.6,Казань,10,9.2,1,1,10,Кирпичный,1,6799972.600000001
Дизайнерский,34.8,Казань,9,12.0,1,1,10,Кирпичный,1,6699974.399999999
косметический,44.0,Казань,6,11.6,1,1,9,Кирпичный,1,6699968.0
,46.0,Казань,6,13.0,0,1,10,Кирпичный,0,6599988.0
,33.3,Казань,8,10.98,1,1,9,Кирпичный,0,6599993.399999999
,36.0,Казань,10,8.0,1,1,11,Кирпичный,1,6499980.0
,38.83,Казань,10,8.98,1,1,10,Кирпичный,0,6499986.68
Требует ремонта,37.28,Казань,9,9.7,1,1,10,Кирпичный,1,6499991.680000001
,47.0,Казань,5,13.0,1,1,10,Кирпичный,0,6699991.0
косметический,38.3,Казань,8,9.1,1,1,10,Панельный,1,6399968.3
Косметический,33.5,Казань,7,7.6,1,1,9,Панельный,1,6499971.5
,41.8,Казань,6,5.0,1,1,10,Панельный,0,6399998.0
,34.6,Казань,10,9.0,0,1,10,Панельный,1,6499990.600000001
косметический,36.7,Казань,10,10.0,0,1,10,Кирпичный,1,6499973.7
,33.1,Казань,6,8.0,1,1,9,Панельный,0,6549993.5
,33.8,Казань,8,7.4,1,1,9,Панельный,0,6499976.6
,33.0,Казань,5,9.0,1,1,10,Панельный,0,6349992.0
Косметический,40.1,Казань,7,10.0,1,1,10,Панельный,1,6298988.2
,44.0,Казань,9,12.0,0,1,10,Иные,1,6249980.0
Требует ремонта,36.78,Казань,7,17.34,1,1,10,Кирпично-монолитный,1,6299972.640000001
,32.35,Казань,5,9.77,1,1,6,Кирпичный,0,6549969.2
косметический,40.0,Казань,9,9.0,0,1,10,Кирпичный,1,7000000.0
Хороший,31.0,Новосибирск,2,5.8,0,1,5,Кирпично-монолитный,0,3399987.0
Без ремонта,34.0,Казань,9,10.0,1,1,10,Кирпичный,1,7299970.0
Косметический,34.42,Казань,8,9.3,1,1,9,Кирпичный,1,7099985.5
,28.6,Казань,5,5.5,1,1,5,Кирпичный,0,6349972.2
,40.7,Казань,5,9.0,0,1,8,Монолитный,1,6549973.100000001
Требуется,34.6,Казань,4,11.7,0,1,6,Кирпичный,0,6498987.2
,24.8,Новосибирск,1,5.7,0,1,3,Кирпичный,0,3299987.2
Требуется,32.2,Казань,3,5.9,1,1,5,Кирпичный,1,6099968.000000001
,48.2,Казань,5,0.0,0,1,10,Монолитно-кирпичный,0,6299981.0
,34.0,Казань,3,10.0,0,1,6,Кирпичный,1,6549998.0
Требует ремонта,28.7,Новосибирск,1,3.3,0,1,3,Кирпичный,0,3099973.1
Косметический,28.9,Казань,4,6.9,1,1,5,Кирпичный,0,5999986.8
,34.0,Новосибирск,2,0.0,1,1,3,Кирпичный,0,3079992.0
,31.0,Казань,2,5.0,1,1,5,Кирпичный,0,6099994.0
,34.0,Казань,2,9.0,0,1,10,Кирпичный,0,6349976.0
,30.0,Казань,3,5.0,1,1,5,Кирпичный,0,6549990.0
Косметический,31.2,Новосибирск,2,5.1,1,1,10,Панельный,1,3120000.0
косметический,38.0,Новосибирск,1,10.0,1,1,3,Кирпичный,0,2998998.0
Косметический,35.9,Казань,4,7.8,0,1,5,Иные,0,5899985.5
,31.6,Казань,3,6.0,1,1,5,Кирпичный,1,5799990.4
Дизайнерский,30.0,Казань,3,7.0,1,1,5,Иные,0,6600000.0
,37.5,Новосибирск,6,9.0,1,1,9,Панельный,0,2949975.0
,36.6,Казань,2,9.8,0,1,10,Кирпичный,1,6249999.0
,36.0,Казань,4,7.8,1,1,5,Кирпичный,0,5699988.0
Отсутствует,32.3,Казань,4,6.0,1,1,5,Кирпичный,0,5659993.6
Косметический,38.8,Новосибирск,3,6.0,0,1,4,Кирпичный,0,2948877.5999999996
,31.0,Новосибирск,1,5.0,1,1,10,Панельный,1,2689994.0
,40.0,Новосибирск,3,10.0,1,1,4,Кирпичный,0,2950000.0
косметический,39.1,Казань,1,10.1,0,1,10,Кирпичный,1,6199969.7
,33.3,Новосибирск,1,9.0,1,1,3,Кирпичный,0,2899997.0999999996
,34.0,Казань,4,0.0,0,1,5,Панельный,0,5498990.0
,27.3,Новосибирск,4,6.2,1,1,4,Кирпичный,0,2899997.1
Косметический,32.1,Казань,5,6.2,1,1,5,Кирпичный,0,5449970.100000001
,34.0,Казань,5,9.0,0,1,10,Кирпичный,0,6299996.0
косметический,33.3,Казань,2,6.0,1,1,5,Кирпичный,0,5999993.999999999
Косметический,32.0,Казань,3,6.0,1,1,5,Кирпичный,0,5999968.0
,34.0,Казань,5,0.0,0,1,17,Кирпичный,0,6249982.0
,47.4,Казань,4,6.0,1,1,5,Панельный,0,6498966.6
Косметический,32.0,Новосибирск,1,9.0,1,1,6,Панельный,0,3149984.0
Дизайнерский,45.0,Казань,5,10.0,0,1,10,Кирпичный,1,6399000.0
,32.3,Казань,2,4.5,1,1,5,Панельный,0,5949982.999999999
Без ремонта,35.1,Казань,6,6.1,1,1,19,Панельный,1,6099993.9
Дизайнерский,45.0,Казань,3,0.0,1,2,5,Панельный,0,6499980.0
Косметический,31.2,Казань,2,6.3,1,1,5,Кирпичный,1,6249984.0
,31.1,Казань,3,6.0,1,1,5,Кирпичный,0,6149993.9
косметический,48.2,Казань,5,6.0,1,2,5,Панельный,0,6499962.800000001
,54.0,Казань,2,6.0,1,2,5,Кирпичный,0,6319998.0
,38.0,Казань,10,8.3,1,1,12,Монолитный,0,6099988.0
Косметический,46.8,Казань,3,5.8,1,2,4,Кирпичный,0,6349964.399999999
,45.0,Казань,3,5.6,0,2,5,Панельный,0,6199965.0
,50.0,Казань,1,9.0,0,2,5,Кирпичный,0,6200000.0
,46.7,Казань,3,6.0,1,2,5,Панельный,0,6189991.600000001
,43.9,Казань,4,5.7,1,2,5,Кирпичный,0,6249999.1
,45.2,Казань,2,5.9,1,2,5,Блочный,0,6099966.0
,43.7,Казань,1,6.0,0,2,5,Панельный,0,6149988.4
,43.7,Казань,1,6.0,0,2,5,Панельный,0,5999966.300000001
Косметический,43.7,Казань,4,6.0,1,2,4,Кирпичный,0,5999966.300000001
,43.8,Казань,2,5.6,0,2,5,Иные,0,5998979.399999999
,44.9,Казань,1,6.0,0,2,5,Кирпичный,0,5989974.3
Косметический,43.0,Казань,1,6.0,0,2,5,Панельный,0,5989986.0
косметический,45.0,Казань,1,7.0,0,2,5,Кирпичный,0,5999985.0
,45.6,Казань,2,6.0,0,2,5,Панельный,0,5949979.2
Косметический,43.7,Казань,5,6.0,1,2,5,Кирпичный,0,5999966.300000001
,45.4,Казань,1,6.0,0,2,5,Панельный,0,5798987.399999999
,46.3,Казань,1,5.7,0,2,5,Панельный,0,5899962.699999999
косметический,43.7,Казань,5,5.5,1,2,5,Кирпичный,0,5889973.4
,43.2,Казань,1,6.0,0,2,5,Кирпичный,0,5749963.2
Дизайнерский,46.8,Казань,2,6.0,1,2,5,Панельный,0,5749988.399999999
,42.8,Казань,2,0.0,0,2,5,Панельный,0,5699975.6
косметический,47.9,Казань,3,6.0,1,2,5,Панельный,0,5639985.5
,45.3,Казань,1,6.0,0,2,5,Кирпичный,0,5548978.199999999
,43.2,Казань,1,5.7,0,2,5,Панельный,0,5499964.800000001
косметический,43.8,Казань,4,5.7,2,2,5,Кирпичный,0,5899991.399999999
косметический,45.0,Казань,3,5.5,1,2,3,Кирпичный,0,5499000.0
Косметический,42.6,Казань,2,5.3,2,2,5,Кирпичный,0,5499958.2
,46.0,Казань,2,7.0,0,2,5,Панельный,0,5498978.0
Косметический,41.1,Казань,1,6.0,1,2,5,Кирпичный,0,5499960.9
,37.0,Казань,2,5.2,1,2,5,Кирпичный,0,5299991.0
,42.6,Казань,2,6.0,0,2,5,Панельный,0,5399976.0
косметический,48.3,Казань,4,5.8,1,2,5,Панельный,0,5299959.0
,43.2,Казань,1,6.0,0,2,5,Панельный,0,5299992.0
,45.0,Казань,1,5.5,0,2,5,Кирпичный,0,5299965.0
Косметический,42.8,Казань,1,5.7,0,2,5,Кирпичный,0,5299966.8
,45.7,Казань,5,5.6,0,2,5,Панельный,0,5249970.300000001
,46.7,Казань,2,5.7,1,2,5,Панельный,0,5499999.100000001
,47.5,Казань,1,6.0,1,2,5,Панельный,0,5498980.0
косметический,44.0,Казань,5,6.0,1,2,5,Кирпичный,0,5199964.0
,42.8,Казань,3,6.0,1,2,5,Кирпичный,0,5299966.8
,45.5,Казань,1,5.6,0,2,5,Панельный,0,5229997.5
,43.3,Казань,3,6.0,1,2,5,Панельный,0,5399986.3
Требуется,43.0,Казань,4,7.0,0,2,5,Иные,0,5199990.0
,44.0,Казань,1,7.0,1,2,5,Панельный,0,5390000.0
,43.5,Казань,3,5.4,1,2,5,Панельный,0,5249971.5
,42.9,Казань,5,6.0,0,2,5,Кирпичный,0,5199994.8
косметический,42.4,Казань,1,5.4,0,2,5,Панельный,0,5249968.0
,44.0,Казань,2,0.0,0,2,5,Панельный,0,5399988.0
Косметический,42.7,Казань,2,6.0,1,2,5,Кирпичный,0,5599976.9
Косметический,44.5,Казань,5,6.0,1,2,5,Панельный,0,5199958.5
Косметический,43.4,Казань,5,6.1,1,2,5,Панельный,0,5199971.0
Косметический,42.2,Казань,2,6.2,0,2,5,Кирпичный,0,5589980.800000001
Требует ремонта,48.0,Казань,2,4.0,1,2,5,Панельный,0,5400000.0
Косметический,46.6,Казань,3,5.4,1,2,5,Панельный,0,5699972.2
Косметический,45.0,Казань,4,5.2,1,2,5,Кирпичный,0,5499990.0
,40.0,Казань,4,6.0,0,2,5,Кирпичный,0,5100000.0
Косметический,46.1,Казань,5,6.0,1,2,5,Панельный,0,5598983.3
косметический,44.0,Казань,3,6.0,1,2,5,Панельный,0,5599000.0
,42.0,Казань,5,5.4,1,2,5,Панельный,0,5599986.0
Требуется,42.0,Казань,4,5.3,1,2,5,Иные,0,5399982.0
Косметический,43.9,Казань,4,5.7,1,2,5,Кирпичный,1,5548960.0
Косметический,39.9,Казань,3,5.8,1,2,5,Кирпичный,0,5649999.6
Косметический,46.5,Казань,5,5.9,1,2,5,Панельный,0,5549961.0
,43.7,Казань,4,7.2,0,2,5,Смешанные,0,5549987.4
,47.0,Казань,5,6.0,0,2,5,Иные,0,5499987.0
Косметический,45.0,Казань,5,6.2,1,2,5,Кирпичный,0,5499990.0
косметический,43.7,Казань,5,7.0,1,2,5,Кирпичный,0,5548982.300000001
Косметический,46.0,Казань,2,5.4,1,2,5,Панельный,0,5649996.0
косметический,43.9,Казань,3,6.0,1,2,5,Панельный,0,5599971.8
,43.0,Казань,4,0.0,1,2,5,Кирпичный,0,5379988.0
Косметический,44.1,Казань,5,5.6,1,2,5,Кирпичный,0,5299982.100000001
,42.0,Казань,5,0.0,0,2,5,Кирпичный,0,5489988.0
,43.7,Казань,5,7.0,1,2,5,Кирпичный,0,5544961.9
косметический,43.5,Казань,1,6.0,0,2,5,Кирпичный,0,5699979.0
Косметический,46.0,Казань,1,5.6,1,2,5,Иные,0,5750000.0
,45.2,Казань,1,5.9,0,2,5,Кирпичный,0,5799973.600000001
Косметический,45.7,Казань,5,6.3,1,2,5,Кирпичный,0,5949957.2
,45.5,Казань,5,0.0,0,2,5,Кирпичный,0,5799976.0
,43.9,Казань,1,6.0,1,2,5,Панельный,0,5999988.6
Косметический,39.7,Казань,2,5.5,0,2,4,Кирпичный,0,5699967.2
Косметический,45.8,Казань,1,6.0,1,2,5,Кирпичный,0,5599966.0
,47.0,Казань,3,0.0,0,2,5,Панельный,0,6049981.0
,44.1,Казань,1,6.0,1,2,5,Панельный,0,6199974.9
,48.63,Казань,3,6.0,1,2,5,Панельный,0,5998996.800000001
Косметический,45.7,Казань,4,6.0,1,2,5,Иные,0,5989990.4
,43.0,Казань,4,5.3,1,2,5,Панельный,0,6099980.0
,48.0,Казань,5,0.0,0,2,5,Иные,0,5998992.0
,46.0,Казань,5,0.0,0,2,5,Кирпичный,0,5999964.0
,42.7,Казань,5,6.0,1,2,5,Панельный,0,6399961.4
,43.9,Казань,4,6.0,1,2,4,Кирпичный,0,5949986.5
Косметический,46.6,Казань,4,6.1,1,2,5,Кирпичный,0,5799975.8
Косметический,42.2,Казань,5,5.4,1,2,5,Панельный,0,5899982.0
Косметический,32.6,Казань,10,8.0,1,1,10,Кирпичный,0,6099981.600000001
Косметический,49.3,Казань,5,8.0,1,2,5,Кирпичный,0,6199968.0
,46.9,Казань,3,6.0,0,2,5,Панельный,0,6099954.7
косметический,44.7,Казань,4,6.0,1,2,5,Кирпичный,0,5749984.5
,44.5,Казань,5,5.0,1,2,5,Кирпичный,0,5899988.0
Косметический,43.0,Казань,4,6.0,1,2,5,Иные,0,6099980.0
,47.0,Казань,6,6.0,1,2,6,Кирпичный,0,5989962.0
,47.0,Казань,5,6.0,1,2,5,Панельный,0,5549995.0
Косметический,49.3,Казань,5,8.0,1,2,5,Кирпичный,0,6149977.8
,42.5,Казань,5,6.0,1,2,5,Кирпичный,0,5599970.0
,41.9,Казань,4,5.2,1,2,5,Кирпичный,0,5569976.5
Требует ремонта,55.0,Казань,5,7.6,1,2,5,Кирпичный,0,6199985.0
Требует ремонта,31.9,Новосибирск,3,5.0,0,1,5,Кирпичный,0,3599978.8
