id,offer_views,city,lat,lon,price_sq,area,floor,kitchen_area,bathroom_type,balconies,renovation,is_apartment,rooms,has_gas,house_floors,house_wall_type,lifts,freight_lifts,time_on_foot_to_subway,build_year,urgent,duplicates_count,sale_type,is_auction,all_data.house.ceiling_height,all_data.house.has_garbage_disposer,all_data.is_auction,all_data.object_info.living_area,all_data.object_info.window_view[0].display_name,all_data.object_info.window_view[1].display_name,all_data.object_info.window_view[2].display_name,all_data.object_info.window_view[3].display_name,all_data.object_info.window_view[4].display_name,all_data.object_info.loggias,all_data.legal_options.approve,all_data.legal_options.mortgage,all_data.legal_options.is_individual,all_data.legal_options.is_owner,all_data.legal_options.owner_minors,all_data.legal_options.residence_minors,all_data.object_info.redevelopment,all_data.house.security[0].display_name,all_data.house.security[1].display_name,all_data.house.security[2].display_name,all_data.house.security[3].display_name,all_data.house.parking[0].display_name,all_data.house.parking[1].display_name,all_data.house.parking[2].display_name,all_data.house.parking[3].display_name,all_data.house.parking[4].display_name,all_data.house.yard[0].display_name,all_data.house.yard[1].display_name,all_data.house.infrastructure[0].display_name,all_data.house.infrastructure[1].display_name,all_data.house.infrastructure[2].display_name,all_data.house.infrastructure[3].display_name,all_data.house.infrastructure[4].display_name,all_data.legal_options.years_ownership.display_name,all_data.legal_options.owner_count,all_data.object_info.garage_type.display_name
1883299827,0,Москва,"55,747672","37,732503",351851,"16,2",5,0,Совмещенный,0,Евро,True,1,False,6,Кирпичный,1,0,14,1963,False,0,Свободная продажа,False,,false,false,,,,,,,,true,,false,false,false,false,false,Домофон,Закрытая территория,,,Во дворе,,,,,,,Фитнес,Торговый центр,,,,Меньше трех,1,
1817363476,180,Москва,"55,846194","37,581146",303867,"18,1",5,3,Совмещенный,0,Евро,True,0,False,5,Кирпичный,1,0,8,1956,False,0,Свободная продажа,False,3,false,false,15,Двор,,,,,,true,,false,false,false,false,false,Кодовая дверь,,,,Во дворе,,,,,Детская площадка,Спортивная площадка,Торговый центр,Фитнес,,,,Меньше трех,1,
1584403820,9984,Москва,"55,703885","37,652768",249950,20,1,3,Совмещенный,0,Евро,True,1,False,5,Кирпичный,2,0,7,1929,False,0,Свободная продажа,False,3,true,false,15,Двор,Парк,Улица,,,,true,,false,false,false,false,false,Домофон,,,,Во дворе,Со шлагбаумом,,,,Детская площадка,Спортивная площадка,Школа,Парк,Детский сад,Фитнес,Торговый центр,Меньше трех,1,
1839253001,163,Москва,"55,800418","37,795268",305031,"15,9",4,3,None,0,Евро,True,0,None,5,Кирпичный,0,0,12,1958,False,0,Свободная продажа,False,"2,2",,false,9,Двор,,,,,0,true,true,,,,,,,,,,Наземная,,,,,,,,,,,,,,Наземная парковка
1900946419,0,Москва,"55,803186","37,785009",310000,15,3,3,None,0,евроремонт,True,0,None,6,Кирпичный,0,1,19,1983,False,0,,False,3,true,false,12,Двор,,,,,,true,,,,,,,,,,,Во дворе,,,,,Детская площадка,Спортивная площадка,,,,,,,,
1894170543,0,Москва,"55,799952","37,491889",384341,"12,9",1,4,None,0,Евро,True,0,True,5,Кирпичный,0,0,11,1960,False,0,Свободная продажа,False,"2,6",,false,7,Улица,,,,,0,true,true,,,,,,,,,,Наземная,,,,,Детская площадка,,,,,,,,,Наземная парковка
1912730002,0,Москва,"55,793379","37,820142",186194,"24,7",6,4,None,0,Евро,True,0,None,6,Кирпичный,1,0,17,1953,False,0,Свободная продажа,False,"5,85",,false,16,Двор,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,Наземная парковка
1793314031,1949,Москва,"55,793379","37,820142",191625,24,6,2,None,0,Евро,True,1,None,6,Кирпичный,0,0,17,1953,False,0,Свободная продажа,False,,,false,15,,,,,,,false,true,,,,,,,,,,,,,,,,,,,,,,,,
1791856290,603,Москва,"55,800418","37,795268",288132,"15,8",5,3,None,1,Евро,True,0,None,5,Кирпичный,0,0,12,1958,False,0,Свободная продажа,False,"3,3",,false,10,Улица,,,,,1,true,true,,,,,,,,,,Наземная,,,,,,,,,,,,,,Наземная парковка
1874607057,0,Москва,"55,865333","37,465775",299382,"16,2",1,0,Совмещенный,0,Евро,False,0,True,9,Кирпичный,1,0,11,1966,False,0,Свободная продажа,False,"2,64",true,false,,Двор,,,,,,true,,false,false,false,false,false,Домофон,,,,Во дворе,,,,,Детская площадка,Спортивная площадка,Школа,Парк,Детский сад,Торговый центр,Фитнес,,1,
1883144989,51,Москва,"55,73661","37,737084",261309,"16,8",3,0,None,0,евроремонт,True,0,None,3,Кирпичный,1,0,12,,False,0,Свободная продажа,False,,false,false,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
1910491016,0,Москва,"55,86062","37,525028",433142,"10,5",3,0,None,0,евроремонт,True,0,None,3,Кирпичный,1,0,27,1912,False,0,Свободная продажа,False,,false,false,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
1704218338,1936,Москва,"55,86062","37,525028",442333,"10,5",3,3,None,0,Евро,True,0,None,3,Кирпичный,0,0,27,1912,False,1,,False,,false,false,,Двор,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
1848055551,1,Москва,"55,86062","37,525028",442332,"10,5",3,3,None,0,евроремонт,True,0,None,3,Кирпичный,0,0,27,1912,False,1,Свободная продажа,False,,false,false,,Двор,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,
1859940939,0,Москва,"55,865333","37,465775",299382,"16,2",1,0,Совмещенный,0,Евро,True,0,True,9,Кирпичный,1,0,11,1966,False,0,Свободная продажа,False,"2,6",true,false,,Двор,,,,,,true,,false,false,false,false,false,,,,,Во дворе,,,,,Детская площадка,Спортивная площадка,,,,,,,1,
1803847020,219,Москва,"55,810865","37,520069",350000,15,1,5,None,1,евроремонт,True,0,True,5,Блочный,1,0,9,1958,False,0,Свободная продажа,False,3,true,false,9,Двор,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
1881782083,0,Москва,"55,708181","37,68164",293650,"18,9",6,0,None,0,Евро,True,0,False,6,Кирпичный,0,0,5,2015,False,0,Свободная продажа,False,,,false,"14,9",Двор,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,
1897365187,0,Москва,"55,818761","37,723933",400000,18,4,3,None,0,евроремонт,None,0,None,5,Кирпичный,0,0,10,1955,False,0,Свободная продажа,False,3,,false,10,Двор,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,
1793404945,3329,Москва,"55,708024","37,830401",348000,20,8,0,Совмещенный,0,Евро,False,0,False,10,Монолитный,2,1,14,1987,False,0,Свободная продажа,False,,false,false,,,,,,,,true,,false,false,false,false,false,Домофон,Кодовая дверь,Консьерж,Закрытая территория,Охраняемая,Во дворе,Со шлагбаумом,,,,,,,,,,,,
1906258641,0,Москва,"55,818761","37,723933",469798,"14,9",5,0,Совмещенный,0,Евро,False,0,False,5,Кирпичный,0,0,10,1955,False,0,Свободная продажа,False,"3,3",false,false,,Двор,,,,,,true,,true,false,false,false,false,Домофон,Кодовая дверь,,,Во дворе,,,,,Детская площадка,Спортивная площадка,Школа,Детский сад,Торговый центр,Парк,Фитнес,Меньше трех,1,
